Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
15/10/2020 14:52:03,620;39,44315;17,43964;32,344405;32,298696;69,220913;24,772979;64,076674;29,148444;
15/10/2020 14:52:04,620;39,440373;17,438414;32,348561;32,301775;69,323799;24,875857;64,282444;29,19989;
15/10/2020 14:52:05,620;39,438059;17,437494;32,354412;32,304547;69,323799;24,824418;64,231001;29,251336;
15/10/2020 14:52:06,620;39,437133;17,435655;32,357029;32,306086;69,272356;24,772979;64,179559;29,302782;
15/10/2020 14:52:07,621;39,436516;17,433355;32,362879;32,310398;69,272356;24,824418;64,385328;29,251336;
15/10/2020 14:52:08,621;39,43343;17,431669;32,370731;32,313015;69,220913;24,772979;64,488213;29,354228;
15/10/2020 14:52:09,621;39,430807;17,432589;32,373194;32,315017;69,220913;24,875857;64,488213;29,251336;
15/10/2020 14:52:10,620;39,430807;17,429983;32,379815;32,316864;69,220913;24,824418;64,64254;29,354228;
15/10/2020 14:52:11,620;39,430807;17,427837;32,383664;32,318712;69,169469;24,824418;64,488213;29,19989;
15/10/2020 14:52:12,620;39,428493;17,428296;32,389976;32,324563;69,323799;24,875857;64,745424;29,302782;
15/10/2020 14:52:13,622;39,428956;17,42615;32,393979;32,327796;69,220913;24,824418;64,64254;29,302782;
15/10/2020 14:52:14,620;39,427876;17,425537;32,398444;32,331799;69,118026;24,875857;64,693982;29,405674;
15/10/2020 14:52:15,620;39,428493;17,42569;32,402446;32,334879;69,169469;24,824418;64,796867;29,354228;
15/10/2020 14:52:16,620;39,426333;17,423544;32,408143;32,340729;69,118026;24,824418;64,848309;29,354228;
15/10/2020 14:52:17,621;39,424019;17,424464;32,4123;32,343501;69,169469;24,824418;64,745424;29,302782;
15/10/2020 14:52:18,621;39,425562;17,422471;32,413685;32,346272;69,220913;24,824418;64,796867;29,302782;
15/10/2020 14:52:19,621;39,42263;17,421551;32,416919;32,350121;69,01514;24,772979;64,848309;29,354228;
15/10/2020 14:52:20,620;39,422476;17,421245;32,422615;32,35551;68,963697;24,824418;65,002636;29,302782;
15/10/2020 14:52:21,620;39,422785;17,421551;32,425232;32,358128;68,963697;24,772979;65,054078;29,405674;
15/10/2020 14:52:22,620;39,422939;17,419559;32,42785;32,360899;69,01514;24,824418;64,951194;29,405674;
15/10/2020 14:52:23,621;39,423248;17,418639;32,429697;32,363055;69,066583;24,875857;65,002636;29,405674;
15/10/2020 14:52:24,622;39,423248;17,418179;32,43293;32,361823;68,86081;24,875857;65,002636;29,45712;
15/10/2020 14:52:25,620;39,424328;17,417259;32,436317;32,365057;68,963697;24,978735;65,105521;29,354228;
15/10/2020 14:52:26,622;39,420933;17,415726;32,436779;32,363363;68,912253;24,824418;65,002636;29,405674;
15/10/2020 14:52:27,620;39,422322;17,415266;32,439089;32,364287;68,86081;24,824418;65,002636;29,405674;
15/10/2020 14:52:28,621;39,418773;17,41266;32,44109;32,365365;68,757924;24,824418;64,951194;29,45712;
15/10/2020 14:52:29,620;39,417231;17,412967;32,446325;32,362439;68,655037;24,772979;65,002636;29,19989;
15/10/2020 14:52:30,620;39,416768;17,41312;32,44771;32,362901;68,757924;24,772979;65,156963;29,45712;
15/10/2020 14:52:31,620;39,415842;17,412354;32,452483;32,362593;68,706481;24,824418;65,105521;29,354228;
15/10/2020 14:52:32,620;39,418156;17,414653;32,454793;32,360437;68,706481;24,824418;65,156963;29,45712;
15/10/2020 14:52:33,621;39,418773;17,416799;32,459258;32,357974;68,655037;24,824418;65,105521;29,405674;
15/10/2020 14:52:34,620;39,421859;17,418792;32,46326;32,356742;68,757924;24,824418;65,156963;29,45712;
15/10/2020 14:52:35,620;39,426488;17,420785;32,464646;32,358898;68,86081;24,875857;65,31129;29,560013;
15/10/2020 14:52:36,622;39,428802;17,422011;32,468341;32,356742;69,01514;24,875857;65,31129;29,508566;
15/10/2020 14:52:37,620;39,431579;17,425997;32,473268;32,355664;69,01514;24,824418;65,156963;29,45712;
15/10/2020 14:52:38,621;39,436979;17,427683;32,474962;32,354433;69,066583;24,824418;65,31129;29,508566;
