Time;Hora;Tempo (min);PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/08/2020 14:52:27,069;14:52:27;2,88;34,840025;-48,908159;29,172266;27,596756;75,291213;21,480882;59,08677;23,540819;
18/08/2020 14:52:28,070;14:52:28;2,90;34,840641;-48,917329;29,208719;27,630581;75,291213;21,429443;59,29254;23,592265;
18/08/2020 14:52:29,070;14:52:29;2,92;34,840949;-48,912067;29,228253;27,645342;75,188326;21,378004;59,29254;23,540819;
18/08/2020 14:52:30,070;14:52:30;2,93;34,840179;-48,918231;29,247018;27,66287;75,342656;21,378004;59,446867;23,540819;
18/08/2020 14:52:31,070;14:52:31;2,95;34,839408;-48,907257;29,263784;27,680551;75,291213;21,429443;59,446867;23,489373;
18/08/2020 14:52:32,070;14:52:32;2,97;34,838792;-48,909812;29,299469;27,711764;75,239769;21,480882;59,395424;23,592265;
18/08/2020 14:52:33,070;14:52:33;2,98;34,840025;-48,91342;29,318234;27,727908;75,342656;21,429443;59,601193;23,540819;
18/08/2020 14:52:34,071;14:52:34;3,00;34,839408;-48,909361;29,334078;27,741593;75,291213;21,429443;59,652636;23,592265;
18/08/2020 14:52:35,070;14:52:35;3,02;34,839254;-48,910263;29,35269;27,754355;75,291213;21,429443;59,75552;23,540819;
18/08/2020 14:52:36,071;14:52:36;3,03;34,838792;-48,912067;29,386222;27,780955;75,291213;21,378004;59,806963;23,643711;
18/08/2020 14:52:37,070;14:52:37;3,05;34,837868;-48,903498;29,405603;27,792949;75,291213;21,480882;59,858405;23,643711;
18/08/2020 14:52:38,070;14:52:38;3,07;34,837714;-48,908459;29,420063;27,804634;75,291213;21,480882;60,064174;23,695157;
18/08/2020 14:52:39,070;14:52:39;3,08;34,838176;-48,909963;29,43806;27,819857;75,188326;21,378004;59,96129;23,643711;
18/08/2020 14:52:40,069;14:52:40;3,10;34,838638;-48,912669;29,456211;27,832619;75,342656;21,480882;60,064174;23,695157;
18/08/2020 14:52:41,069;14:52:41;3,12;34,838946;-48,925747;29,488975;27,862757;75,342656;21,429443;60,167059;23,695157;
18/08/2020 14:52:42,070;14:52:42;3,13;34,836789;-48,912669;29,505742;27,87844;75,188326;21,429443;60,321386;23,695157;
18/08/2020 14:52:43,071;14:52:43;3,15;34,838022;-48,905152;29,524509;27,89151;75,291213;21,378004;60,321386;23,695157;
18/08/2020 14:52:44,070;14:52:44;3,17;34,838022;-48,898988;29,54266;27,907502;75,394099;21,429443;60,475713;23,695157;
18/08/2020 14:52:45,071;14:52:45;3,18;34,838484;-48,909662;29,579425;27,933181;75,291213;21,429443;60,527155;23,695157;
18/08/2020 14:52:46,070;14:52:46;3,20;34,836943;-48,904851;29,598039;27,945175;75,239769;21,480882;60,42427;23,695157;
18/08/2020 14:52:47,070;14:52:47;3,22;34,836481;-48,900191;29,615114;27,954401;75,291213;21,378004;60,578597;23,746603;
18/08/2020 14:52:48,070;14:52:48;3,23;34,836789;-48,907557;29,633881;27,96701;75,291213;21,429443;60,527155;23,746603;
18/08/2020 14:52:49,070;14:52:49;3,25;34,836789;-48,893125;29,667724;27,989768;75,188326;21,480882;60,732924;23,849495;
18/08/2020 14:52:50,070;14:52:50;3,27;34,835865;-48,883203;29,685876;28,002223;75,239769;21,378004;60,732924;23,798049;
18/08/2020 14:52:51,070;14:52:51;3,28;34,835711;-48,879295;29,703875;28,012833;75,291213;21,378004;60,681482;23,695157;
18/08/2020 14:52:52,071;14:52:52;3,30;34,835248;-48,882001;29,720489;28,022521;75,342656;21,532321;60,835809;23,798049;
