time;process_time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
15:15:32,313;198,00;42,833092;20,493898;30,759191;30,227861;53,222071;24,515784;49,621385;26,627585
15:15:33,314;199,00;42,829076;20,492517;30,773348;30,250634;53,273515;24,361467;50,032924;26,627585
15:15:34,313;200,00;42,827686;20,489756;30,799816;30,296335;53,273515;24,515784;50,032924;26,627585
15:15:35,314;201,00;42,824907;20,488835;30,811358;30,322186;53,273515;24,361467;50,444462;26,576139
15:15:36,313;202,00;42,823053;20,488835;30,826592;30,350037;53,273515;24,464345;51,06177;26,627585
15:15:37,314;203,00;42,822281;20,484999;30,843058;30,379428;53,273515;24,412906;51,010328;26,679031
15:15:38,313;204,00;42,823362;20,483618;30,874451;30,438211;53,273515;24,464345;51,318982;26,576139
15:15:39,315;205,00;42,821972;20,481777;30,889994;30,464371;53,376401;24,515784;51,524751;26,730477
15:15:40,314;206,00;42,817957;20,481777;30,905383;30,492224;53,273515;24,361467;51,833405;26,730477
15:15:41,314;207,00;42,81842;20,481777;30,922619;30,517461;53,324958;24,412906;52,296385;26,730477
15:15:42,314;208,00;42,818883;20,478555;30,940778;30,544083;53,222071;24,412906;52,296385;26,833369
15:15:43,314;209,00;42,817802;20,476253;30,973711;30,595174;53,273515;24,412906;52,707924;26,833369
15:15:44,314;210,00;42,817185;20,476407;30,989715;30,620412;53,324958;24,412906;52,965135;26,730477
15:15:45,313;211,00;42,816412;20,474566;31,005259;30,644111;53,222071;24,464345;52,965135;26,781923
15:15:46,314;212,00;42,814714;20,474259;31,020648;30,665963;53,170628;24,361467;53,06802;26,781923
15:15:47,313;213,00;42,812088;20,47073;31,052812;30,709669;53,273515;24,412906;53,119462;26,730477
15:15:48,314;214,00;42,811316;20,470423;31,068048;30,729675;53,376401;24,361467;53,222347;26,833369
15:15:49,314;215,00;42,809463;20,469963;31,083592;30,750759;53,376401;24,412906;53,376674;26,936261
15:15:50,313;216,00;42,809308;20,468582;31,098981;30,76738;53,427844;24,361467;53,479559;26,833369
15:15:51,314;217,00;42,805138;20,468582;31,129761;30,802469;53,427844;24,464345;53,428116;26,833369
15:15:52,314;218,00;42,806528;20,468428;31,144536;30,816627;53,479287;24,412906;53,428116;26,833369
15:15:53,314;219,00;42,808845;20,469196;31,159464;30,830017;53,479287;24,412906;53,73677;26,884815
15:15:54,314;220,00;42,810389;20,468275;31,175008;30,84556;53,376401;24,464345;53,633885;26,884815
15:15:55,315;221,00;42,811625;20,471037;31,201479;30,872955;53,736503;24,464345;53,685328;26,833369
15:15:56,313;222,00;42,812706;20,47119;31,215638;30,885421;53,582174;24,412906;53,582443;26,936261
15:15:57,313;223,00;42,812088;20,471497;31,227181;30,901581;53,582174;24,515784;53,479559;26,884815
15:15:58,314;224,00;42,81286;20,471804;31,239648;30,916048;53,582174;24,464345;53,376674;26,936261
15:15:59,314;225,00;42,811934;20,472418;31,249651;30,930515;53,479287;24,412906;53,376674;26,884815
15:16:00,313;226,00;42,813941;20,477481;31,272891;30,96068;53,582174;24,464345;53,428116;26,987708
15:16:01,314;227,00;42,815022;20,478248;31,284896;30,973762;53,582174;24,464345;53,479559;26,987708
15:16:02,314;228,00;42,817339;20,480089;31,296285;30,988999;53,530731;24,464345;53,479559;27,039154
15:16:03,314;229,00;42,817648;20,480703;31,308444;31,003928;53,582174;24,412906;53,479559;26,987708
15:16:04,314;230,00;42,821972;20,482391;31,333069;31,031631;53,479287;24,361467;53,633885;26,987708
15:16:05,314;231,00;42,82398;20,484232;31,346613;31,046714;53,68506;24,464345;53,582443;26,936261
15:16:06,314;232,00;42,826297;20,484692;31,35831;31,061644;53,582174;24,515784;53,788212;27,039154
15:16:07,313;233,00;42,829076;20,48592;31,370161;31,075803;53,530731;24,412906;53,73677;27,039154
15:16:08,313;234,00;42,830003;20,487301;31,394941;31,103508;53,479287;24,361467;53,685328;26,987708
15:16:09,315;235,00;42,828304;20,486534;31,408793;31,117514;53,582174;24,361467;53,891097;26,987708
15:16:10,314;236,00;42,831856;20,487608;31,42203;31,133213;53,582174;24,515784;53,942539;27,0906
15:16:11,313;237,00;42,832011;20,487608;31,433573;31,147989;53,582174;24,464345;54,045424;27,0906
15:16:12,314;238,00;42,832474;20,487761;31,462201;31,181234;53,582174;24,515784;54,148309;27,0906
15:16:13,313;239,00;42,834019;20,487914;31,474207;31,197549;53,530731;24,310028;54,199751;27,0906
15:16:14,314;240,00;42,834636;20,488221;31,488059;31,214172;53,582174;24,412906;54,456962;27,039154
15:16:15,314;241,00;42,835408;20,488682;31,50068;31,230642;53,633617;24,515784;54,354078;27,039154
15:16:16,315;242,00;42,831856;20,488068;31,512994;31,246649;53,582174;24,515784;54,559847;27,0906
15:16:17,314;243,00;42,834791;20,487454;31,539775;31,279434;53,633617;24,464345;54,868501;27,142046
15:16:18,314;244,00;42,832474;20,485306;31,552243;31,295596;53,633617;24,464345;54,919943;27,142046
15:16:19,313;245,00;42,82954;20,486073;31,564095;31,309756;53,787947;24,464345;55,022828;27,193492
15:16:20,313;246,00;42,829385;20,48592;31,57764;31,32638;53,68506;24,515784;55,125712;27,0906
15:16:21,314;247,00;42,828613;20,484999;31,605038;31,352547;53,582174;24,515784;55,177155;27,193492
15:16:22,314;248,00;42,827841;20,484385;31,616428;31,363937;53,736503;24,412906;55,228597;27,193492
15:16:23,314;249,00;42,829849;20,482237;31,629357;31,375174;53,736503;24,20715;55,280039;27,142046
15:16:24,314;250,00;42,823053;20,481317;31,641979;31,388104;53,736503;24,464345;55,537251;27,193492
15:16:25,313;251,00;42,818575;20,478555;31,666145;31,412424;53,736503;24,412906;55,588693;27,142046
15:16:26,315;252,00;42,819656;20,477941;31,678151;31,422121;53,582174;24,464345;55,537251;27,193492
15:16:27,313;253,00;42,815022;20,476407;31,690465;31,434282;53,633617;24,361467;55,897347;27,296384
15:16:28,315;254,00;42,815795;20,474259;31,701856;31,444595;53,736503;24,464345;55,897347;27,244938
15:16:29,314;255,00;42,815177;20,472571;31,713246;31,455831;53,99372;24,412906;55,948789;27,296384
15:16:30,314;256,00;42,81286;20,470116;31,736951;31,47538;53,68506;24,515784;56,206001;27,244938
15:16:31,315;257,00;42,812551;20,469196;31,750035;31,484308;53,633617;24,464345;56,154559;27,296384
15:16:32,315;258,00;42,813169;20,469042;31,761426;31,492621;53,633617;24,412906;56,308886;27,399276
15:16:33,313;259,00;42,808845;20,468275;31,773124;31,500933;53,787947;24,464345;56,206001;27,244938
